"name","city","state","zip","phone","website","instagram","email","email_source","google_review_count","google_star_rating","address","gbp_url","categories","top_competitor_1_name","top_competitor_1_reviews","top_competitor_1_stars","top_competitor_1_distance","top_competitor_2_name","top_competitor_2_reviews","top_competitor_2_stars","top_competitor_2_distance","top_competitor_3_name","top_competitor_3_reviews","top_competitor_3_stars","top_competitor_3_distance","notes","call_status","call_attempts","last_attempted"
"Lisse Aesthetics","Dallas","Texas","75231","(469) 264-5162","https://www.lisseaesthetics.com/","","info@lisseaesthetics.com","contact_page","155","5.0","10300 N Central Expy #115, Dallas, TX 75231","https://www.google.com/maps/search/?api=1&query=Lisse%20Aesthetics&query_place_id=ChIJ2S5HowcupmwREps5rpigD5A","Medical spa","NakedMD Med Spa Dallas","582","4.9","2.01","OMNI SCULPT MD: Med Spa","463","5.0","0.21","AYA Medical Spa Dallas - University Park","139","5.0","2.8","","not_called","0",""
"Bare Aesthetics Dallas","Dallas","Texas","75219","(214) 980-4371","http://www.bareaestheticsdallas.com/","","","","125","5.0","3300 Oak Lawn Ave #106, Dallas, TX 75219","https://www.google.com/maps/search/?api=1&query=Bare%20Aesthetics%20Dallas&query_place_id=ChIJB4JKwjufToYRKJVN9-9lZ10","Medical spa","It's A Secret Med Spa","574","4.6","0.77","Lemmon Avenue Plastic Surgery and Laser Center","444","4.9","0.76","OVME","250","4.8","0.53","","not_called","0",""
"Bella MedSpa - Dallas MedSpa","Dallas","Texas","75208","(972) 762-4636","http://www.bellamedspadfw.com/","","","","508","4.8","412 S Llewellyn Ave #150, Dallas, TX 75208","https://www.google.com/maps/search/?api=1&query=Bella%20MedSpa%20-%20Dallas%20MedSpa&query_place_id=ChIJhXBDi2OZToYReAfRqIZuXdM","Medical spa","Calypso Aesthetic Lab","203","5.0","3.77","VIV Wellness","111","5.0","3.42","Dallas Aesthetic Studio","110","5.0","2.98","","not_called","0",""
"It's A Secret Med Spa","Dallas","Texas","75204","(469) 789-0004","https://secretmedspa.com/dallas-tx/","","","","574","4.6","2935 Blackburn St Suite 100, Dallas, TX 75204","https://www.google.com/maps/search/?api=1&query=It's%20A%20Secret%20Med%20Spa&query_place_id=ChIJsSzHhjGZToYRNTzakPv8gq8","Medical spa; Facial spa","Lemmon Avenue Plastic Surgery and Laser Center","444","4.9","0.25","OVME","250","4.8","0.72","SkinSpirit West Village Dallas","150","4.9","0.11","","not_called","0",""
"Calypso Aesthetic Lab","Dallas","Texas","75226","(832) 622-6294","http://www.calypsoaestheticlab.com/","","calypsoaestheticlab@gmail.com","contact_page","203","5.0","1526 S Good Latimer Expy Suite 100, Dallas, TX 75226","https://www.google.com/maps/search/?api=1&query=Calypso%20Aesthetic%20Lab&query_place_id=ChIJTTvaCtqdToYRYdiL9GnoJuk","Medical spa; Facial spa; Skin care clinic","Mara's Med Spa","603","4.8","1.61","Lemmon Avenue Plastic Surgery and Laser Center","444","4.9","2.03","The Science of Beauty","201","5.0","1.44","","not_called","0",""
"Aurum Health","Dallas","Texas","75206","(214) 865-7800","http://www.aurumhealth.com/","","info@aurum.health","contact_page","244","4.9","4300 N Central Expy #110, Dallas, TX 75206","https://www.google.com/maps/search/?api=1&query=Aurum%20Health&query_place_id=ChIJD8LET6GZToYRSleYd2kkdPw","Medical spa; Tanning salon","UPKEEP Med Spa","887","4.9","0.34","It's A Secret Med Spa","574","4.6","0.79","OVME","250","4.8","0.79","","not_called","0",""
"Lily Aesthetics & Wellness","Dallas","Texas","75254","(972) 503-5459","https://www.lilymedspa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-website","","info@lilymedspa.com","contact_page","166","4.8","14785 Preston Rd #175, Dallas, TX 75254","https://www.google.com/maps/search/?api=1&query=Lily%20Aesthetics%20%26%20Wellness&query_place_id=ChIJx9w0IBAhTIYRINvY5qzWl68","Medical spa","NakedMD Med Spa Dallas","582","4.9","3.22","SkinSpaMED","421","4.9","1.35","Rejuve Med Spa","302","4.8","3.6","","not_called","0",""
"Medical Aesthetics of North Dallas","Plano","Texas","75024","(214) 577-1777","https://northdallasmedspa.com/?utm_source=GMBSocialClimb&utm_medium=MedicalAestheticsofNorthDallas","","","","153","4.9","6541 Preston Rd STE 300, Plano, TX 75024","https://www.google.com/maps/search/?api=1&query=Medical%20Aesthetics%20of%20North%20Dallas&query_place_id=ChIJjbdK20wiTIYR0nqdZPir3lw","Skin care clinic; Laser hair removal service; Medical spa","U Med Spa","1165","4.9","1.72","It's A Secret Med Spa","380","4.8","2.0","OVME","160","4.7","2.05","","not_called","0",""
"Total Med Solutions","Dallas","Texas","75209","(214) 522-2887","https://totalmedsolutions.com/","","","","343","4.8","5610 Lemmon Ave # D, Dallas, TX 75209","https://www.google.com/maps/search/?api=1&query=Total%20Med%20Solutions&query_place_id=ChIJqacCkQWfToYR4EUy8H6hEBk","Medical spa","ZO Skin Centre","486","4.9","1.45","Well Labs+ Medspa Dallas","359","4.9","1.55","CULT Aesthetics","352","4.9","0.89","","not_called","0",""
"Modern Medical Spa","Dallas","Texas","75240","(972) 331-7727","http://www.modernmedicalspa.com/","","","","109","4.9","5422 Alpha Rd, Dallas, TX 75240","https://www.google.com/maps/search/?api=1&query=Modern%20Medical%20Spa&query_place_id=ChIJF_RQA0whTIYR_TmA6mrTZ2w","Medical spa","NakedMD Med Spa Dallas","582","4.9","3.03","OMNI SCULPT MD: Med Spa","463","5.0","4.03","SkinSpaMED","421","4.9","0.13","","not_called","0",""
