name,city,state,owner_name,owner_credential,services,google_review_count,google_star_rating,phone,website,instagram_handle,email,gbp_url,address,top_competitor_1_name,top_competitor_1_reviews,top_competitor_2_name,top_competitor_2_reviews,top_competitor_3_name,top_competitor_3_reviews
Nectar Aesthetics,Orlando,FL,Karli Plunkett,"DMSc, PA-C","Botox, Dysport, Daxxify, fillers, PRF, microneedling, facials",228,5.0,(321) 386-2218,https://www.nectaraesthetics.com,@pa_plunkett,,https://maps.google.com/?q=Nectar+Aesthetics+Orlando,"361 N Rosalind Ave Ste 10, Orlando, FL 32801",Spa Blue,251,LightTouch Med Spa,840,180 MedSpa,144
LightTouch Med Spa,Orlando,FL,Alex Medeiros,Owner/Manager,"Botox, fillers, laser hair removal, body contouring, facials",840,4.8,(407) 440-2025,https://lighttouchorlando.com,@lighttouchmedspaorlando,info@lighttouchorlando.com,https://maps.google.com/?q=LightTouch+Med+Spa+Orlando,"1718 W Sand Lake Rd Unit C110, Orlando, FL 32809",Spa Blue,251,Nectar Aesthetics,228,Polished Beauty MedSpa,75
Spa Blue,Orlando,FL,Janet Beres,PA-C,"Botox, Dysport, fillers, PRP, microneedling, microblading",251,4.6,(407) 720-3529,https://www.orlandospablue.com,@spablueorlando,,https://maps.google.com/?q=Spa+Blue+Orlando,"7565 W Sand Lake Rd, Orlando, FL 32819",LightTouch Med Spa,840,Nectar Aesthetics,228,180 MedSpa,144
Polished Beauty MedSpa,Winter Park,FL,Stephanie Williams,"MPAS, PA-C","Botox, Dysport, fillers, Sculptra, PRF, microneedling, VI Peels",75,4.9,(321) 999-9748,https://www.polishedbeautymedspa.com,@polishedbeautymedspa,,https://maps.google.com/?q=Polished+Beauty+MedSpa+Winter+Park,"525 N Park Ave Suite 120, Winter Park, FL 32789",Loutfi Aesthetics,122,180 MedSpa,144,,
Loutfi Aesthetics,Winter Park,FL,Mohammad Loutfi,Board-certified provider,"Botox, dermal fillers, lip fillers, weight management",122,5.0,(407) 731-4258,https://loutfiaesthetics.com,@loutfiaesthetics,info@loutfiaesthetics.com,https://maps.google.com/?q=Loutfi+Aesthetics+Winter+Park,"925 S Denning Dr Suite 4, Winter Park, FL 32789",Polished Beauty MedSpa,75,180 MedSpa,144,Artistik Beauty,16
180 MedSpa,Winter Park,FL,Sandy Hutnick,NP-BC,"Botox, Dysport, fillers, Sculptra, IPL, laser, chemical peels",144,4.8,(407) 314-0351,https://180medspa.com,@180medspa,info@180medspa.com,https://maps.google.com/?q=180+MedSpa+Winter+Park,"976 N Orange Ave Suite B, Winter Park, FL 32789",Loutfi Aesthetics,122,Polished Beauty MedSpa,75,Artistik Beauty,16
Trés Jolie Medical Spa,Lake Mary,FL,Susan Leskanic,NP-C,"Botox, fillers, body sculpting, laser, anti-aging",1409,5.0,(407) 915-6570,https://tresjoliemedispa.com,@tresjoliemedispa,,https://maps.google.com/?q=Tres+Jolie+Medical+Spa,"138 W Crystal Lake Ave, Lake Mary, FL 32746",Couture Med Spa,501,Maki Med Spa,144,,
Skin Social,Sandy Springs,GA,Natalie Fenner,"BSN, MSN, FNP-C","Botox, fillers, microneedling, facials, PRP, lasers",500,5.0,(470) 823-7842,https://skinsocialspa.com,@skinsocialspa,info@skinsocialspa.com,https://maps.google.com/?q=Skin+Social+Sandy+Springs,"5840 Roswell Rd Suite 900, Sandy Springs, GA 30328",Pure Bliss Medspa,118,Modern Looks Med Spa,50,,
Pure Bliss Medspa,Sandy Springs,GA,Asha Hill,NP,"Botox, Juvederm, fillers, microneedling, IPL, chemical peels",118,4.9,(678) 515-3653,https://www.pureblissmedicalspa.com,@pureblissmedspa,,https://maps.google.com/?q=Pure+Bliss+Medspa,"6309 Roswell Rd Ste 2g, Sandy Springs, GA 30328",Skin Social,500,Modern Looks Med Spa,50,Atlanta Medical Aesthetics,71
Allure Aesthetic Center,Alpharetta,GA,Mila Merenkov,Owner (Lucy Brazier NP head injector),"Botox, fillers, P-Shot, lasers, hair restoration, weight loss",292,4.8,(770) 988-5559,https://www.alluremedspa.com,@allure.aesthetic.center,,https://maps.google.com/?q=Allure+Aesthetic+Center+Alpharetta,"2706 Abbey Ct, Alpharetta, GA 30004",Total Rejuvenation Medspa,169,Truffles Aesthetics,55,,
Toxxology,Nashville,TN,Kaley Thompson & Jessica Dumsky,RNs (nurse-founded),"Botox, Daxxify, fillers, microneedling, peptides, IV hydration",115,5.0,(615) 436-8699,https://www.toxxology.com,@toxxology,Service@Toxxology.com,https://maps.google.com/?q=Toxxology+Nashville,"1009 Fatherland St, Nashville, TN 37206",The Aesthetics Club,243,Bellevue MediSpa,600,A Prestige Aesthetics,133
