name,city,state,owner_name,owner_credential,services,google_review_count,google_star_rating,phone,website,instagram_handle,email,gbp_url,address,top_competitor_1_name,top_competitor_1_reviews,top_competitor_2_name,top_competitor_2_reviews,top_competitor_3_name,top_competitor_3_reviews
Adam & Eve Medical Aesthetics,Scottsdale,AZ,Chelsea Hoese,NP,"Botox, Juvederm, Restylane, Sculptra, Dysport, laser, microneedling, Ultherapy",266,5.0,(480) 575-6584,adamandevemedspa.com,@adamandevemedicalaesthetics,,,"31309 N Scottsdale Rd Ste 100, Scottsdale, AZ 85266",Skin Savvy Aesthetics,400,Esthetic Solutions Med Spa,73,Zona Med Spa,102
Moderne Medical Aesthetics,Scottsdale,AZ,Allison Woodworth,"RN, MSN, FNP-C","Botox, Dysport, Daxxify, RHA, Restylane, Sculptra, PRF, lasers, microneedling, peels",61,5.0,(480) 477-7726,modernemedical.com,@themodernemedspa,support@modernemedical.com,,"9180 E Desert Cove Ave Ste 103, Scottsdale, AZ 85260",Adam & Eve Medical Aesthetics,266,Skin Savvy Aesthetics,400,Zona Med Spa,102
Skin Savvy Aesthetics Med Spa,Scottsdale,AZ,Karlee Hefner,NMD,"Botox, filler, facials, peels, RF microneedling, lasers",400,5.0,(480) 409-2902,skinsavvyscottsdale.net,@skinsavvydoc,,,"8418 E Shea Blvd Ste 101, Scottsdale, AZ 85260",Moderne Medical Aesthetics,61,Adam & Eve Medical Aesthetics,266,Zona Med Spa,102
Zona Med Spa,Scottsdale,AZ,Michele Hunter,"RN, CANS","Botox, fillers, Radiesse, lasers, facials, injectables",102,5.0,(480) 299-4975,zonamedspa.com,@zonamedspa,,,"9767 N 91st St Ste B102, Scottsdale, AZ 85258",Skin Savvy Aesthetics,400,Sachi Aesthetics,91,Skindale Medspa,99
Esthetic Solutions Med Spa,Scottsdale,AZ,Emily Tryon,RN,"Botox, dermal fillers, Sculptra, Kybella, weight loss injections",73,5.0,(480) 280-6062,estheticsolutions.com,@estheticsolutions,,,"8573 E Princess Dr Ste B219, Scottsdale, AZ 85255",Adam & Eve Medical Aesthetics,266,Moderne Medical Aesthetics,61,Skin Savvy Aesthetics,400
BabyFace Scottsdale Med Spa,Scottsdale,AZ,Leigh Asher,RN,"Botox, lip filler, dermal fillers, microneedling, AquaGold, peels, ProCell, Upneeq",243,4.9,(480) 405-8241,babyfacellc.com,@babyfaceaz,leighasher5@gmail.com,,"8888 E Pinnacle Peak Rd Ste 11, Scottsdale, AZ 85255",Skin Savvy Aesthetics,400,Adam & Eve Medical Aesthetics,266,Method Aesthetics Scottsdale,31
Beautify Spa,Scottsdale,AZ,John Murphy,Founder-Owner,"Botox, fillers, facials, peels, lasers, body contouring",174,5.0,(480) 442-3037,lovebeautify.com,@beautifyspa,,,"8180 N Hayden Rd, Scottsdale, AZ 85258",Skin Beautiful,730,Absolute Beauty Company,507,Studio 48 Medspa,63
Skin Beautiful,Scottsdale,AZ,Laura,Owner-Injector,"Botox, Dysport, dermal fillers, laser, IPL, facials",730,5.0,(480) 578-6364,skinbeautifulaz.com,@skinbeautifulaz,info@skinbeautifulaz.com,,"7325 E 6th Ave, Scottsdale, AZ 85251",Absolute Beauty Company,507,Studio 48 Medspa,63,Sachi Aesthetics,91
Absolute Beauty Company,Scottsdale,AZ,Zorina Kalia,RN,"Botox, Dysport, fillers, medical peels, micro-needling",507,5.0,(480) 556-1234,absolutebeautycompany.com,@absolutebeautycompany,,,"4215 N Brown Ave Ste B, Scottsdale, AZ 85251",Skin Beautiful,730,Studio 48 Medspa,63,Sachi Aesthetics,91
DHH Med Spa,Scottsdale,AZ,Megan Davies,NP,"Botox, fillers, facials, red light therapy, skin tightening",103,5.0,(480) 336-4195,dhhmedspa.com,@dhhmedspa,,,"9188 E San Salvador Dr Ste 102, Scottsdale, AZ 85258",Zona Med Spa,102,Sachi Aesthetics,91,Profile Aesthetics,29
Studio 48 Medspa,Scottsdale,AZ,Cori Kovac,Founder-Owner,"Botox, fillers, facials, lasers, body",63,5.0,(602) 456-9201,studio48scottsdale.com,@studio48medspa,,,"7155 E Main St, Scottsdale, AZ 85251",Absolute Beauty Company,507,Skin Beautiful,730,Sachi Aesthetics,91
Sachi Aesthetics,Scottsdale,AZ,Lori Hellebusch,RN,"Botox, fillers, microneedling, PRP injections, VI Peels, Sculptra",91,4.8,(480) 454-8188,sachiaesthetics.com,@sachiaesthetics,,,"8370 E Via De Ventura Ste K205, Scottsdale, AZ 85258",DHH Med Spa,103,Method Aesthetics Scottsdale,31,Studio 48 Medspa,63
Skindale Medspa,Scottsdale,AZ,Alizia,RN,"Botox, dermal fillers, lasers, custom medical facials",99,5.0,(623) 401-7546,skindalemedspa.com,@skindalemedspa,,,"11000 N Scottsdale Rd Ste 160, Scottsdale, AZ 85254",Adam & Eve Medical Aesthetics,266,Skin Savvy Aesthetics,400,Zona Med Spa,102
Method Aesthetics Scottsdale,Scottsdale,AZ,Katie Mann,"DNP, FNP-C","Botox, fillers, body contouring, lasers, skin rejuvenation",80,4.8,(602) 810-8707,methodscottsdale.com,@methodscottsdale,,,"10802 N Scottsdale Rd Ste 145, Scottsdale, AZ 85254",Skindale Medspa,99,Sachi Aesthetics,91,DHH Med Spa,103
Esthetic Finesse,Paradise Valley,AZ,Diane Howard,RN,"Botox, Dysport, fillers, Sculptra, PRF/PRP, Kybella, lip filler, facial balancing",500,5.0,(480) 908-9695,estheticfinesse.com,@estheticfinesse,,,"5520 N 69th Pl, Paradise Valley, AZ 85253",Moderne Medical Aesthetics,61,Adam & Eve Medical Aesthetics,266,Skin Savvy Aesthetics,400
Suddenly Slimmer Med Spa,Phoenix,AZ,Luzivone Damaceno,"LAc, Founder","Botox, fillers, lasers, hair removal, body contouring, weight loss",1062,5.0,(602) 952-8446,suddenlyslimmer.com,@suddenlyslimmer,info@suddenlyslimmer.com,,"3313 E Indian School Rd, Phoenix, AZ 85018",All About Me Medical Aesthetics,100,Med 44 Arcadia,200,Morph Aesthetics,193
All About Me Medical Aesthetics,Phoenix,AZ,Leslie Predmore,NMD,"Botox, Juvederm, CoolSculpting, facials, peels, lasers",100,4.9,(480) 750-1905,allaboutmeaz.com,@allaboutme_az,,,"34406 N 27th Dr Bldg 4 Ste 128, Phoenix, AZ 85085",Suddenly Slimmer Med Spa,1062,Innova MedSpa,201,Med 44 Arcadia,200
Med 44 Arcadia,Phoenix,AZ,Holly Mueller,"RN, BSN","Botox, Daxxify, fillers, tear trough, lip filler, BBL Hero, photofacial, ultrasound lifting, RF microneedling",200,5.0,(602) 883-4313,med44arcadia.com,@med44arcadia,,,"4750 N 44th St, Phoenix, AZ 85018",Morph Aesthetics,193,Esthetic Finesse,500,Innova MedSpa,201
Morph Aesthetics,Phoenix,AZ,Brandie Henderson,Owner-Injector,"Botox, Dysport, Jeuveau, Restylane, Juvederm, RHA, facials, skincare",193,5.0,(602) 299-7418,morphaesthetics.com,@morphaesthetics,,,"1440 E Missouri Ave Ste 265, Phoenix, AZ 85014",Med 44 Arcadia,200,Innova MedSpa,201,Suddenly Slimmer Med Spa,1062
Innova MedSpa,Phoenix,AZ,Carmen Mora,NMD,"Lasers, PRP, IV therapy, injectables, regenerative aesthetics, allografts",201,5.0,(602) 246-6628,innovamedspa.com,@innovamedspa,,,"1530 W Glendale Ave Ste 106, Phoenix, AZ 85021",Morph Aesthetics,193,Med 44 Arcadia,200,Suddenly Slimmer Med Spa,1062
Zensken Medical Aesthetics,Phoenix,AZ,Ashley Lax,"RN, Certified Aesthetic Injection Trainer","Botox, dermal fillers, thread lifts, aesthetic injector training",117,5.0,(877) 654-9806,zensken.com,@zensken,,,"4626 E Indian School Rd, Phoenix, AZ 85018",Med 44 Arcadia,200,Morph Aesthetics,193,Esthetic Finesse,500
Bella Medspa Arizona,Tempe,AZ,Karla Cabrera,FNP-C,"Botox, fillers, HydraFacial, microneedling, PRP",275,5.0,(480) 420-8067,bellamedicalspaarizona.com,@bellamedspa,info@karlacabreranp.com,,"209 E Baseline Rd Ste E106, Tempe, AZ 85283",AZ Laser Studio & Medspa,100,Allure Infinite Beauty,457,The Beauty Lab Medical Aesthetics,166
AZ Laser Studio & Medspa,Mesa,AZ,Francisco Ahumada,Owner,"Botox, dermal fillers, lasers, microneedling, body contouring, hormone therapy",100,5.0,(480) 450-4809,azlaserstudiomedspa.com,@azlaserstudiomedspa,,,"1061 N Dobson Rd Ste 109, Mesa, AZ 85201",Allure Infinite Beauty,457,Emily Frost Aesthetics,288,The Beauty Lab Medical Aesthetics,166
Emily Frost Aesthetics,Mesa,AZ,Emily Frost,Owner-Aesthetician,"Botox, dermal fillers, lip fillers, tattoo removal, peels, facials",288,5.0,(480) 389-6579,emilyfrostaesthetics.com,@emilyfrostaesthetics,,,"4338 E Florian Ave Ste 102, Mesa, AZ 85206",Allure Infinite Beauty,457,The Beauty Lab Medical Aesthetics,166,AZ Laser Studio & Medspa,100
Allure Infinite Beauty,Mesa,AZ,Brittany R,Owner,"Botox, Dysport, dermal fillers, PDO threads, lasers, hair removal",457,4.9,(480) 831-7109,allurepc.com,@allureinfinitebeauty,,,"1130 W Grove Ave Ste 114, Mesa, AZ 85210",Emily Frost Aesthetics,288,The Beauty Lab Medical Aesthetics,166,AZ Laser Studio & Medspa,100
The Beauty Lab Medical Aesthetics,Mesa,AZ,Kira,RN,"Botox, fillers, lip fillers, microneedling, Semaglutide, facials",166,5.0,(480) 877-0054,thebeautylabaz.com,@the_beautyrn,,,"8950 E Germann Rd Ste 18, Mesa, AZ 85212",Emily Frost Aesthetics,288,Allure Infinite Beauty,457,AZ Laser Studio & Medspa,100
The Glow Lab,Gilbert,AZ,Allison,RN,"Botox, fillers, lip fillers, GLP-1, peels, skincare",222,5.0,(480) 771-7202,theglowlabaz.com,@theglowlabaz,hello@theglowlabaz.com,,"3126 S Higley Rd Ste 107, Gilbert, AZ 85295",Colair Beauty Lounge & Med Spa,190,Giovanni Med Spa,131,Bloom AZ Med Spa,126
Bloom AZ Med Spa,Gilbert,AZ,Sidney Chenoweth,"RN, Certified Nurse Injector","Botox, lip flips, lip filler, fillers, chemical peels, Botox for TMJ",126,5.0,(480) 417-7470,bloomazmedspa.com,@bloomazmedspa,bloomazmedspa@outlook.com,,"1030 S Gilbert Rd Ste 107, Gilbert, AZ 85296",The Glow Lab,222,Giovanni Med Spa,131,Colair Beauty Lounge & Med Spa,190
Giovanni Med Spa,Gilbert,AZ,Brittany,RN,"Injections, laser treatments, body contouring, facials",131,4.9,(480) 714-8686,giovannimedspa.com,@giovannimedspa,hello@giovannimedspa.com,,"2586 S Val Vista Dr Ste 104, Gilbert, AZ 85295",The Glow Lab,222,Bloom AZ Med Spa,126,Drops of Beauty,165
Colair Beauty Lounge & Med Spa,Gilbert,AZ,Dallas Sloan,Co-Founder,"Botox, fillers, facials, hair, skincare",190,4.9,(480) 912-5325,colairbeautylounge.com,@colairbeauty,info@colairbeautylounge.com,,"1440 S Higley Rd Ste 108, Gilbert, AZ 85296",The Glow Lab,222,Bloom AZ Med Spa,126,Giovanni Med Spa,131
Drops of Beauty,Gilbert,AZ,Ana Correa,Member-Owner,"Fillers, facials, laser hair removal, permanent makeup, Dermapen, Thermage, Fraxel, peels",165,4.5,(602) 688-7545,dropsofbeautymedspa.com,@dropsofbeautyaz,,,"875 N Greenfield Rd Ste 103, Gilbert, AZ 85234",Bloom AZ Med Spa,126,The Glow Lab,222,Giovanni Med Spa,131
Empower Aesthetics and Wellness,Chandler,AZ,Suzie Hessman,Owner,"Botox, dermal fillers, hormones, Semaglutide weight loss, sexual wellness, skin treatments",102,5.0,(480) 300-7350,empoweraestheticsandwellness.com,@empoweraestheticswellness,,,"4981 S Arizona Ave Ste 2, Chandler, AZ 85248",Flawless Faces Med Spa,60,Chandler Med Spa,56,Beverlys Med Spa,575
Flawless Faces Med Spa,Chandler,AZ,Ali Garzuzi,Master Injector,"Botox, lip fillers, fillers, laser hair removal, facials",60,5.0,(602) 622-7000,flawlessfacesaz.com,@flawlessfacesaz,,,"3165 S Alma School Rd Ste 29, Chandler, AZ 85248",Empower Aesthetics and Wellness,102,Beverlys Med Spa,575,Chandler Med Spa,56
