name,city,state,owner_name,owner_credential,services,google_review_count,google_star_rating,phone,website,instagram_handle,gbp_url,notes
Skin Bar,Austin,TX,Julie Bennett,FNP/RN,"Botox, fillers, lasers, IV, microneedling",unknown,unknown,512-676-5853,https://www.skinbartexas.com/,@skinbaraustin,unknown,"NP+RN, established 2014, single Circle Drive location"
Vital Luxe,Lubbock,TX,Desiree L. Martinez,"MSN, APRN, FNP-C","Botox, filler, microneedling, PRP, IV",~359 (Birdeye),4.9,(806) 589-8923,https://vitalluxe-aestheticsbest.com/,unknown,unknown,"NP-owned but high review count - probably outside 5-50 band; only include if relaxing criteria"
My Best Face Forward (MYBFF),San Antonio,TX,Tara Rodriguez,"RN, BSN","Botox, fillers, Sculptra, PRP, microneedling, IV",unknown,unknown,(210) 504-7266,https://mybffmedspa.com/,@mybffmedspa,unknown,"RN-owned single Blanco Rd location"
HTX Aesthetics,Katy,TX,Ally Verheul,"RN, BSN, CANS","Neurotoxins, dermal fillers, medical skincare",unknown,unknown,832-841-4043,https://htx-aesthetics.com/,@htx_aesthetics_ally,unknown,"CANS-certified RN, single Westheimer Pkwy location"
Injectology2,Tyler,TX,Kimberly Brown,Master Nurse Injector,"Microneedling, fillers, neurotoxins, B12",unknown,unknown,(903) 308-3898,https://injectology2.com/,@injectology2,unknown,"Single location, RN injector"
BCRN Aesthetics,Houston,TX,Bri Collins,"BSN, RN","Botox, fillers, hydrafacial, microneedling",unknown,unknown,unknown,https://www.bcrnaesthetics.com/,@bcrnaesthetics,unknown,"RN-owned w/ MD medical director, single Washington Ave location"
Dulce Vida Wellness & Beauty,Lake Worth (Fort Worth metro),TX,Maribel Montes Person,"RN, BSN","Botox, fillers, neurotoxins",unknown,unknown,(817) 727-5333,https://www.dulcevidabeauty.com/,@dulcevidabeautynurse,unknown,"RN injector inside Salon and Spa Galleria suite #409 - very small new operator"
Centurion Injects & IV Drips,Humble (Houston metro),TX,Anna Centurion,"MSN, AGACNP-BC","Botox, Dysport, fillers, Kybella, Sculptra, PDO threads",unknown,unknown,281-570-6408,https://centurioninjects.com/,@centurion_injects,unknown,"NP-owned, bilingual"
Coastal Health & Medical Spa,Jacksonville,FL,Olivia,DNP NP,"Botox, fillers, hydrafacial, microneedling, PRP, weight loss",~54,5.0,(904) 257-3232,https://coastalmedicalspa.com/,@coastalhealthmedicalspa,unknown,"Just over 5-50 band but excellent ICP fit - flag as borderline"
Boutiq Medical Clinic,Orlando,FL,Karen Buckalew,"MN, APRN-C, MSCP","Botox, fillers, BBL Hero, Moxi, Emface, Exion",~43 (Chamber),5.0,(407) 777-2449,https://boutiqclinic.com/,unknown,unknown,"NP-owned single Virginia Drive location"
Erasable Med Spa,Tampa,FL,Loretta Nguyen Zanetti,APRN,"Tattoo removal, Botox, fillers, lasers, body sculpting",~419 Google,4.9,813-333-9971,https://erasablemedspa.com/,@erasablemedspa,unknown,"Well over 50 - established, only useful if relaxing criteria"
SLAE Aesthetics,Tampa,FL,Ashley Barton & Stephanie McQuillan,Two NPs (twin sisters),"Botox, fillers, lasers, hair restoration, weight loss",~77 (multi-platform),unknown,813-418-0861,https://www.slaeaesthetics.com/,@slaeaesthetics,unknown,"NP twin sisters, single Swann Ave location"
Inside Out Aesthetics & Wellness,Wesley Chapel,FL,Tracy,FNP-C,"Botox, fillers, biostimulators, weight loss, HRT, hydrafacials",~154 (multi-platform),5.0,813-602-6100,https://insideout-aesthetics.com/,@inside_out_aesthetics_wellness,unknown,"NP-owned single Cashford Cir location"
Laceleaf MedSpa,Wesley Chapel,FL,Desiree Lamb,NP,"Botox, fillers, lasers, RF microneedling, HRT, IV",unknown,unknown,813-705-7277,https://laceleafmedspa.com/,@laceleafmedspa,unknown,"NP-led single Post Oak Blvd location"
Injections and Co.,Sarasota,FL,Alison Chafin,APRN-C,"Botox, fillers, lasers, microneedling, GLP-1, PRP",unknown,unknown,(941) 226-4811,https://www.injectionsandco.com/,@allie_c_np,unknown,"NP-owned inside Phenix Salon Suites - very boutique"
Injection Perfection Medical Spa,Boca Raton,FL,Desirae Lymber,"APRN, FNP-BC","Botox, fillers, Sculptra, Morpheus8, microneedling, weight loss",~166,5.0,561-266-4150,https://www.injection-perfection.com/,@injection_perfection,unknown,"NP-owned single location - over band but excellent operator"
Rewind Beauty Bar,Fort Myers,FL,Eileen,Board Certified NP,"Injectables, facials, microneedling, body contouring, HRT, weight loss",unknown,unknown,239.940.3418,https://www.rewindbeautybar.com/,@rewindbeautybar,unknown,"NP-owned single downtown Fort Myers location"
LUX Injectables,Clearwater,FL,Jessica Manges,Master injector (cred not stated),"PDO threads, Botox, Dysport, fillers, Kybella, microneedling",unknown,unknown,(727) 698-8225,https://luxinjectables.com/,@luxinjectables,unknown,"Verify owner credential before outreach (NP/RN not explicitly stated on site)"
Curated Medical,Scottsdale,AZ,Katie Mann,"DNP, FNP-C","Botox, Dysport, Daxxify, fillers, Kybella, lasers, weight loss",98,5.0,480-826-1139,https://curatedmed.com/,@curatedmedical,https://www.google.com/maps?cid=1779841674681793478,"NP-owned single location - over 50-review band but otherwise perfect ICP"
